video_url,my_description,weekday
https://www.youtube.com/watch?v=U9UmAhFIm_E&list=PLLKzf_MAjjGYtv7RPMNBSNEMM3SmR5Nho&index=1&t=211s,"10 асан в позах стоя, специально для тех, кто любит позы воина!",1
https://www.youtube.com/watch?v=8olun9Udw68&list=PLLKzf_MAjjGYtv7RPMNBSNEMM3SmR5Nho&index=2&t=88s,"«Мед» для твоей спины",2
https://youtu.be/7zw4qsFzHK0?si=GE5CsqwoC6xQNyqa,"Даже 10 минут движения - это вклад в себя.Твоя практика на сегодня уже ждёт тебя",3
https://youtu.be/VV5NfjAN35M?si=BsvbNWSzV686Nh6Z,"Вчера укрепляли кор, сегодня запястья, кажется все не случайно..уже догадываешься, что тебя ждет совсем скоро?",4
https://youtu.be/qW0js0VkWmQ?si=0bcxdtXg_WvemdNL,"Иногда всё, что нужно это напомнить телу, что оно живое. Суставная разминка от Сергея Митропольского - идеальное напоминание об этом, ее можно делать даже в офисе! Начнем прямо сейчас?",5
https://youtu.be/Z9Cb2JiIcds?si=_DKInG1IkEDQFeyn,"Мы готовились, работали с кором и запястьями, чтобы с кайфом отметить 20 дней горячей практикой ""подготовка к стойке на руках"" от Jivamukti Yoga Material. Не пугайся, стоять на руках совсем не обязательно. Просто выполни короткий, бодрый комплекс, который сделает тебя сильнее и приблизит к стойке",6
https://www.youtube.com/watch?v=9dHMhp_wNFs&list=PLLKzf_MAjjGYtv7RPMNBSNEMM3SmR5Nho&index=7,"Бонус. Кто хорошо работает, тот хорошо отдыхает или очень интересный аналог шавасаны. Сделай его сегодня после активной йоги или в любой день, когда захочешь снять напряжение. Практика прогрессивной мышечной релаксации для расслабления тела и психики. Погружение тела в состояние глубокого психического и физического расслабления через кратковременное напряжение частей тела. Снимает стресс, освобождает тело от зажимов и скованности, перезагружает нервную систему, возвращая ее в состояние равновесия",
https://youtu.be/qg1HuNRrBLc?si=Dw8p5n-_go4EgB2k, Наши плечики устали, 7
